Timestamp,ID,Demographic,Musicianship,Native Tongue (母国語),Which other languages can you read and/or understand? （他のどの言語を読んだり理解できるか?）,How long have you been playing music? ( 音楽経験歴 ),What kind of music do you listen to? （好きなジャンル/国教えてください）,Name some of your favorite musical artists. (好きなアーティスト名教えてください),How familiar are you with world music? (どれぐらい民俗音楽を聴いたことありますか?),Gender (性別),,,,,,
9/30/2021 17:52:52,0AX0,North Indian,Musician,Hindi,"English, Marathi, Bengali, Sanskrit.",10+ years ( 10年以上),"Hindustani Classical, Progressive rock, Psychedelic rock, Progressive metal, Old bollywood film music, Contemporary world fusion","Bhimsen Joshi, Kishori Amonkar, Kumar Gandharva, Pandit Jasraj, Porcupine Tree, Pink Floyd, Steven Wilson, Snow Patrol, Poets of the Fall, Mohammad Rafi, Naushad, Hemant Kumar, ",4,男性,,,,,,
10/18/2021 11:12:36,2AX2,North Indian,Musician,Hindi,English,10+ years ( 10年以上),No particular genres or countries ,"The XX, Radiohead, Linkin Park",5,男性,,,,,,
10/29/2021 18:58:59,0DY0,South Indian,Non-Musician,English,"Hindi, Hindi",No experience (無し),Western Pop and Classical,"Cold Play, Moody Blues, Death Cab for Cutie",2,Female,,,,,,
12/6/2021 17:33:12,4AX1,North Indian,Musician,Hindi,"English, Hindi, Marathi, Bengali, Sanskrit",10+ years ( 10年以上),Open to all genres but mostly Hindustani Classical Music,"Bhimsen Joshi, Kishori Amonkar, Pandit Jasraj, Roosevelt, Fiji Blue, AR Rahman,  ",5,Male,,,,,,
12/10/2021 20:38:33,1BX1,North Indian,Musician,Bengali,"English, Hindi",10+ years ( 10年以上),"Indian Classical , Bollywood,Western Classical,Metal,Fusion","Pandit Nikhil Banerjee, Pandit Kushal Das, Pandit Bhimsen Joshi,Ustad Zakir Hussain, Kishor Kumar, MD Rafi,Indian Ocean Band, Metallica etc",3,Male,,,,,,
12/12/2021 14:21:57,2BX2,North Indian,Musician,Hindi,"English, Deutsche",5-9 years ( 2-9 年),"World music, Pop and Bollywood","AR Rahman, Richard Bona, Gerald Toto, Gregory Porter",5,Male,,,,,,
2/2/2022 16:27:38,2BY2,North Indian,Non-Musician,English,"English, Hindi, Español, Français, Gujarati",No experience (無し),Rock,"Radiohead, Dua Lipa, Stan Getz, Mohit Chauhan, Portugal. the Man, Arctic Monkeys, Bob Moses, LCD Soundsystem, Elderbrook",4,Male,,,,,,
2/2/2022 17:37:34,0CX0,South Indian,Musician,Tamil,"日本語, English",10+ years ( 10年以上),Mostly Tamil film music + Carnatic and jazz fusion,"AR Rahman, Shankar Tucker, Jacob Collier, Sid Sriram, Shashaa Tirupati",4,Male,,,,,,
2/7/2022 13:23:49,5DX0,South Indian,Musician,Tamil,"Hindi, Français, Gujarati, Sindhi",10+ years ( 10年以上),"Rock, Pop, EDM, Indie","The Strokes, Green Day, Radiohead, Bob Moses, RUFUS DU SOL, Taylor Swift, Billie Eilish",3,Male,,,,,,
3/18/2022 0:33:39,5AX0,North Indian,Musician,Hindi,"English, Hindi, Bengali",10+ years ( 10年以上),"Indian Classical, Ghazals, Contemporary Fusion, World Music, Jazz, Prog Rock","AR Rahman, Shakti, Jacob Collier, Arijit Singh, Jagjit Singh",4,Male,,,,,,
